Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Microtus,10.905 ,-0.798 ,0.539 ,-1.481 ,1.39E-01,2.70E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Myomorpha>Muroidea>Cricetidae>Arvicolinae
Bicosoeca,1.038 ,-0.800 ,2.328 ,-0.344 ,7.31E-01,8.32E-01,Eukaryota>Sar>Stramenopiles>Bigyra>Opalozoa>Bicosoecida>Bicosoecidae
Facklamia,0.695 ,-0.801 ,1.678 ,-0.477 ,6.33E-01,7.64E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae
Onychomys,439.813 ,-0.802 ,0.582 ,-1.379 ,1.68E-01,3.08E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Myomorpha>Muroidea>Cricetidae>Neotominae
Mortierella,2.855 ,-0.804 ,1.054 ,-0.763 ,4.46E-01,6.07E-01,Eukaryota>Opisthokonta>Fungi>Fungi incertae sedis>Mucoromycota>Mortierellomycotina>Mortierellomycetes>Mortierellales>Mortierellaceae
Epidermidibacterium,185.858 ,-0.806 ,0.376 ,-2.143 ,3.21E-02,8.80E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Sporichthyales>Sporichthyaceae
Natronococcus,4.956 ,-0.808 ,0.508 ,-1.589 ,1.12E-01,2.32E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Natrialbales>Natrialbaceae
Liposcelis,1.713 ,-0.810 ,1.143 ,-0.709 ,4.78E-01,6.34E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Paraneoptera>Psocodea>Psocoptera>Troctomorpha>Nanopsocetae>Liposcelididae
Mobilicoccus,143.356 ,-0.811 ,0.415 ,-1.954 ,5.07E-02,1.27E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Dermatophilaceae
Ilumatobacter,39.837 ,-0.819 ,0.350 ,-2.340 ,1.93E-02,5.82E-02,Bacteria>Terrabacteria group>Actinobacteria>Acidimicrobiia>Acidimicrobiales>Ilumatobacteraceae
Purpureocillium,8.074 ,-0.822 ,0.425 ,-1.935 ,5.30E-02,1.31E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Hypocreomycetidae>Hypocreales>Ophiocordycipitaceae
Lorryia,0.649 ,-0.825 ,1.944 ,-0.424 ,6.71E-01,7.90E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Chelicerata>Arachnida>Acari>Acariformes>Trombidiformes>Prostigmata>Eupodina>Tydeoidea>Tydeidae
Alternaria,1222.726 ,-0.833 ,0.452 ,-1.842 ,6.55E-02,1.54E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>dothideomyceta>Dothideomycetes>Pleosporomycetidae>Pleosporales>Pleosporineae>Pleosporaceae
Chaetomium,37.265 ,-0.837 ,0.518 ,-1.617 ,1.06E-01,2.23E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Sordariales>Chaetomiaceae
Aurantiochytrium,0.355 ,-0.842 ,2.107 ,-0.400 ,6.89E-01,8.04E-01,Eukaryota>Sar>Stramenopiles>Bigyra>Labyrinthulomycetes>Thraustochytrida>Thraustochytriaceae
Melaminivora,1436.605 ,-0.842 ,0.359 ,-2.346 ,1.90E-02,5.75E-02,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Morganella,973.918 ,-0.842 ,0.430 ,-1.961 ,4.99E-02,1.25E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Oleiphilus,21.561 ,-0.845 ,0.477 ,-1.772 ,7.64E-02,1.74E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Oleiphilaceae
Tanychilus,0.530 ,-0.846 ,1.330 ,-0.636 ,5.24E-01,6.75E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Cucujiformia>Tenebrionoidea>Tenebrionidae>Cteniopodinae
Azotobacter,233.113 ,-0.847 ,0.409 ,-2.071 ,3.84E-02,1.01E-01,Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Azotobacter group
Actinotignum,10.169 ,-0.849 ,0.459 ,-1.851 ,6.41E-02,1.52E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Actinomycetales>Actinomycetaceae
Silviavirus,1.784 ,-0.850 ,0.747 ,-1.138 ,2.55E-01,4.15E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Herelleviridae>Twortvirinae
Lapidilactobacillus,13.152 ,-0.851 ,0.446 ,-1.909 ,5.63E-02,1.37E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae
Simocephalus,0.355 ,-0.852 ,1.913 ,-0.445 ,6.56E-01,7.79E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Crustacea>Branchiopoda>Phyllopoda>Diplostraca>Cladocera>Anomopoda>Daphniidae
Kochikohdavirus,1.379 ,-0.854 ,0.813 ,-1.051 ,2.93E-01,4.55E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Herelleviridae>Brockvirinae
Ixodes,18.438 ,-0.855 ,0.546 ,-1.566 ,1.17E-01,2.40E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Chelicerata>Arachnida>Acari>Parasitiformes>Ixodida>Ixodoidea>Ixodidae>Ixodinae
Python,33.585 ,-0.855 ,0.584 ,-1.463 ,1.43E-01,2.76E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Henophidia>Pythonidae
Chiroxiphia,7.226 ,-0.856 ,0.538 ,-1.591 ,1.12E-01,2.32E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Archelosauria>Archosauria>Dinosauria>Saurischia>Theropoda>Coelurosauria>Aves>Neognathae>Passeriformes>Pipridae
Stegana,0.595 ,-0.858 ,0.758 ,-1.132 ,2.58E-01,4.17E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Diptera>Brachycera>Muscomorpha>Eremoneura>Cyclorrhapha>Schizophora>Acalyptratae>Ephydroidea>Drosophilidae>Steganinae>Steganini>Steganina
Natronomonas,15.230 ,-0.859 ,0.520 ,-1.653 ,9.83E-02,2.10E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Halobacteriales>Haloarculaceae
Psychromicrobium,44.788 ,-0.862 ,0.380 ,-2.267 ,2.34E-02,6.82E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Micrococcaceae
Erinaceus,414.455 ,-0.863 ,0.651 ,-1.326 ,1.85E-01,3.30E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Eulipotyphla>Erinaceidae>Erinaceinae
Byssochlamys,14.655 ,-0.868 ,0.479 ,-1.811 ,7.01E-02,1.62E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Thermoascaceae
Fusarium,279.873 ,-0.870 ,0.439 ,-1.982 ,4.75E-02,1.20E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Hypocreomycetidae>Hypocreales>Nectriaceae
Scymnus,0.746 ,-0.880 ,1.800 ,-0.489 ,6.25E-01,7.59E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Coccinellidae>Scymninae>Scymnini
Rummeliibacillus,10.559 ,-0.881 ,0.456 ,-1.934 ,5.31E-02,1.31E-01,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Bacillales>Planococcaceae
Papiliotrema,2.142 ,-0.881 ,0.875 ,-1.007 ,3.14E-01,4.76E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Rhynchogastremataceae
Avipoxvirus,3.550 ,-0.883 ,0.780 ,-1.132 ,2.58E-01,4.17E-01,Viruses>Varidnaviria>Bamfordvirae>Nucleocytoviricota>Pokkesviricetes>Chitovirales>Poxviridae>Chordopoxvirinae
Gambierdiscus,1.385 ,-0.884 ,1.621 ,-0.545 ,5.86E-01,7.26E-01,Eukaryota>Sar>Alveolata>Dinophyceae>Gonyaulacales>Goniodomataceae
Dependoparvovirus,8.914 ,-0.884 ,0.685 ,-1.291 ,1.97E-01,3.44E-01,Viruses>Monodnaviria>Shotokuvirae>Cossaviricota>Quintoviricetes>Piccovirales>Parvoviridae>Parvovirinae
Rhagoletis,89.812 ,-0.895 ,0.544 ,-1.645 ,1.00E-01,2.13E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Endopterygota>Diptera>Brachycera>Muscomorpha>Eremoneura>Cyclorrhapha>Schizophora>Acalyptratae>Tephritoidea>Tephritidae>Trypetinae>Carpomyini>Carpomyina
Elymus,0.503 ,-0.897 ,1.394 ,-0.643 ,5.20E-01,6.72E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>Liliopsida>Petrosaviidae>commelinids>Poales>Poaceae>BOP clade>Pooideae>Triticodae>Triticeae>Hordeinae
Jerseyvirus,5.220 ,-0.900 ,0.751 ,-1.198 ,2.31E-01,3.87E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Siphoviridae>Guernseyvirinae
Phrynosoma,0.707 ,-0.908 ,1.513 ,-0.600 ,5.48E-01,6.95E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Iguania>Phrynosomatidae>Phrynosomatinae
Jiaodavirus,2.002 ,-0.911 ,0.693 ,-1.315 ,1.89E-01,3.34E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Myoviridae>Tevenvirinae
Pseudoscardovia,0.442 ,-0.917 ,0.891 ,-1.029 ,3.03E-01,4.66E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Bifidobacteriales>Bifidobacteriaceae
Cystobasidium,2.182 ,-0.920 ,0.852 ,-1.081 ,2.80E-01,4.41E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Pucciniomycotina>Cystobasidiomycetes>Cystobasidiales>Cystobasidiaceae
Podocarpus,0.381 ,-0.921 ,1.790 ,-0.514 ,6.07E-01,7.44E-01,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Acrogymnospermae>Pinopsida>Pinidae>Araucariales>Podocarpaceae
Mustela,116.577 ,-0.922 ,0.576 ,-1.602 ,1.09E-01,2.28E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Caniformia>Mustelidae>Mustelinae
Mediterraneibacter,763.142 ,-0.926 ,0.394 ,-2.348 ,1.89E-02,5.73E-02,Bacteria>Terrabacteria group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae
Gulosibacter,0.361 ,-0.927 ,0.930 ,-0.997 ,3.19E-01,4.81E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Microbacteriaceae
Carinascincus,0.746 ,-0.931 ,1.312 ,-0.710 ,4.78E-01,6.34E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Scinciformata>Scincidae>Eugongylinae
Tulanevirus,6.826 ,-0.935 ,0.687 ,-1.360 ,1.74E-01,3.16E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Myoviridae
Skeletonema,26.052 ,-0.939 ,0.984 ,-0.955 ,3.40E-01,5.04E-01,Eukaryota>Sar>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Skeletonemataceae
Acomys,944.233 ,-0.944 ,0.555 ,-1.701 ,8.89E-02,1.96E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Myomorpha>Muroidea>Muridae>Deomyinae
Methylobacterium,1512.389 ,-0.944 ,0.313 ,-3.013 ,2.59E-03,1.12E-02,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae
Mycolicibacterium,3791.462 ,-0.945 ,0.358 ,-2.639 ,8.31E-03,2.96E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Corynebacteriales>Mycobacteriaceae
Blidingia,4.022 ,-0.947 ,1.205 ,-0.786 ,4.32E-01,5.94E-01,Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>OUU clade>Ulvales>Ulvaceae
Oligotropha,46.075 ,-0.948 ,0.461 ,-2.058 ,3.95E-02,1.03E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae
Loxophyllum,1.695 ,-0.949 ,1.769 ,-0.537 ,5.92E-01,7.32E-01,Eukaryota>Sar>Alveolata>Ciliophora>Intramacronucleata>Litostomatea>Haptoria>Pleurostomatida>Litonotidae
Parauronema,4.375 ,-0.951 ,2.343 ,-0.406 ,6.85E-01,8.01E-01,Eukaryota>Sar>Alveolata>Ciliophora>Intramacronucleata>Oligohymenophorea>Scuticociliatia>Philasterida>Philasteridae
Oblitimonas,1564.588 ,-0.956 ,0.392 ,-2.438 ,1.48E-02,4.70E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae
Octodon,17.781 ,-0.959 ,0.549 ,-1.745 ,8.10E-02,1.82E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Hystricomorpha>Octodontidae
Comamonas,13137.046 ,-0.963 ,0.347 ,-2.778 ,5.47E-03,2.06E-02,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae
Phenylobacterium,144.484 ,-0.964 ,0.349 ,-2.764 ,5.70E-03,2.13E-02,Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae
Bacillus,1700.723 ,-0.967 ,0.294 ,-3.287 ,1.01E-03,5.12E-03,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Bacillales>Bacillaceae
Janibacter,8955.661 ,-0.969 ,0.372 ,-2.606 ,9.17E-03,3.20E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Intrasporangiaceae
Methyloversatilis,170.956 ,-0.972 ,0.439 ,-2.214 ,2.68E-02,7.57E-02,Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae
Phycicoccus,497.835 ,-0.973 ,0.347 ,-2.800 ,5.11E-03,1.94E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Intrasporangiaceae
Salinibacterium,224.559 ,-0.975 ,0.343 ,-2.840 ,4.52E-03,1.76E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Microbacteriaceae
Luteimonas,1786.310 ,-0.977 ,0.351 ,-2.784 ,5.36E-03,2.02E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Tetrasphaera,130.144 ,-0.977 ,0.397 ,-2.460 ,1.39E-02,4.48E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Micrococcales>Intrasporangiaceae
Megrivirus,0.868 ,-0.977 ,1.588 ,-0.615 ,5.38E-01,6.88E-01,Viruses>Riboviria>Orthornavirae>Pisuviricota>Pisoniviricetes>Picornavirales>Picornaviridae
Biseptimavirus,0.776 ,-0.978 ,0.875 ,-1.117 ,2.64E-01,4.23E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Siphoviridae
Alloscardovia,0.563 ,-0.982 ,0.849 ,-1.156 ,2.47E-01,4.07E-01,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Bifidobacteriales>Bifidobacteriaceae
Phocaeicola,2757.520 ,-0.988 ,0.385 ,-2.562 ,1.04E-02,3.54E-02,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidales incertae sedis
Proteus,1757.548 ,-0.998 ,0.328 ,-3.041 ,2.36E-03,1.04E-02,Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Reyranella,4.672 ,-1.000 ,1.550 ,-0.645 ,5.19E-01,6.71E-01,Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillales incertae sedis
Flaviflexus,1036.146 ,-1.004 ,0.372 ,-2.698 ,6.98E-03,2.56E-02,Bacteria>Terrabacteria group>Actinobacteria>Actinomycetia>Actinomycetales>Actinomycetaceae
Limnobacter,75.635 ,-1.004 ,0.378 ,-2.657 ,7.89E-03,2.84E-02,Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Thermomyces,0.573 ,-1.005 ,1.381 ,-0.727 ,4.67E-01,6.25E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>Eurotiomycetes>Eurotiomycetidae>Eurotiales>Trichocomaceae
Mastigamoeba,8.915 ,-1.005 ,1.123 ,-0.895 ,3.71E-01,5.36E-01,Eukaryota>Amoebozoa>Evosea>Archamoebae>Mastigamoebida>Mastigamoebidae
Cynoglossus,31.836 ,-1.015 ,0.534 ,-1.902 ,5.71E-02,1.39E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Carangaria>Pleuronectiformes>Pleuronectoidei>Cynoglossidae>Cynoglossinae
Halolamina,5.558 ,-1.016 ,0.521 ,-1.951 ,5.10E-02,1.27E-01,Archaea>Euryarchaeota>Stenosarchaea group>Halobacteria>Haloferacales>Halorubraceae
Chaetoceros,2.404 ,-1.018 ,0.844 ,-1.207 ,2.28E-01,3.83E-01,Eukaryota>Sar>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophyceae>Chaetocerotophycidae>Chaetocerotales>Chaetocerotaceae
Moneuplotes,0.371 ,-1.019 ,2.613 ,-0.390 ,6.96E-01,8.09E-01,Eukaryota>Sar>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Hypotrichia>Euplotida>Euplotidae
Suricata,23.757 ,-1.028 ,0.562 ,-1.828 ,6.76E-02,1.58E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Carnivora>Feliformia>Herpestidae
Bifseptvirus,0.349 ,-1.030 ,1.477 ,-0.697 ,4.86E-01,6.40E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Autographiviridae
Gammapapillomavirus,0.873 ,-1.034 ,1.933 ,-0.535 ,5.93E-01,7.32E-01,Viruses>Monodnaviria>Shotokuvirae>Cossaviricota>Papovaviricetes>Zurhausenvirales>Papillomaviridae>Firstpapillomavirinae
Lampropeltis,2.360 ,-1.040 ,1.172 ,-0.887 ,3.75E-01,5.40E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Colubridae>Colubrinae
Uroleptus,0.452 ,-1.041 ,2.003 ,-0.520 ,6.03E-01,7.42E-01,Eukaryota>Sar>Alveolata>Ciliophora>Intramacronucleata>Spirotrichea>Stichotrichia>Urostylida>Urostylidae
Rtpvirus,0.631 ,-1.044 ,1.107 ,-0.943 ,3.46E-01,5.10E-01,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Drexlerviridae>Braunvirinae
Rattus,912.443 ,-1.045 ,0.485 ,-2.156 ,3.11E-02,8.56E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Glires>Rodentia>Myomorpha>Muroidea>Muridae>Murinae
Boiga,1.151 ,-1.045 ,1.246 ,-0.839 ,4.02E-01,5.65E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Colubridae>Colubrinae
Parolsenella,28.502 ,-1.046 ,0.413 ,-2.534 ,1.13E-02,3.79E-02,Bacteria>Terrabacteria group>Actinobacteria>Coriobacteriia>Coriobacteriales>Atopobiaceae
Zamenis,1.465 ,-1.052 ,1.246 ,-0.844 ,3.98E-01,5.62E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Serpentes>Colubroidea>Colubridae>Colubrinae
Manacus,3.540 ,-1.055 ,0.565 ,-1.865 ,6.22E-02,1.48E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Archelosauria>Archosauria>Dinosauria>Saurischia>Theropoda>Coelurosauria>Aves>Neognathae>Passeriformes>Pipridae
Corapipo,6.807 ,-1.059 ,0.516 ,-2.051 ,4.03E-02,1.05E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Archelosauria>Archosauria>Dinosauria>Saurischia>Theropoda>Coelurosauria>Aves>Neognathae>Passeriformes>Pipridae
Melosira,1.118 ,-1.065 ,2.902 ,-0.367 ,7.14E-01,8.20E-01,Eukaryota>Sar>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophyceae>Coscinodiscophycidae>Melosirales>Melosiraceae
Alexandrium,0.340 ,-1.070 ,2.341 ,-0.457 ,6.48E-01,7.75E-01,Eukaryota>Sar>Alveolata>Dinophyceae>Gonyaulacales>Gonyaulacaceae
Ilyonectria,0.437 ,-1.082 ,2.186 ,-0.495 ,6.21E-01,7.56E-01,Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Hypocreomycetidae>Hypocreales>Nectriaceae
